격자 id 번호,좌측 격자 위치  ,상단 격자 위치,우측 격자 위치,하단 격자 위치,일평균 유동인구,일평균 남성 유동인구,일평균 여성 유동인구,0세_20세 미만 일평균 유동인구,20세_40세 미만 일평균 유동인구,40세_65세 미만 일평균 유동인구,65세 이상 일평균 유동인구,데이터기준일자
2293,306677,519468,306777,519368,429.565625,200.713244,228.8523809,37.87952381,154.5775,185.5191965,51.58940476,2021-11-30
2426,306777,519968,306877,519868,192.8462568,85.87650273,106.9697541,19.799153,66.86191257,82.80816939,23.37702186,2021-11-30
2975,307177,520268,307277,520168,145.3221858,72.0681694,73.2540164,10.80431694,51.72423498,66.58969945,16.20393443,2021-11-30
2976,307177,520168,307277,520068,43.04326821,21.37769712,21.66557109,3.373619844,15.12030077,19.75040552,4.798942081,2021-11-30
2985,307177,519268,307277,519168,627.7470266,300.6389528,327.1080739,68.08200055,214.2032235,270.6454713,74.81633127,2021-11-30
2986,307177,519168,307277,519068,1191.888115,576.8478689,615.040246,111.6572951,412.6111202,560.4793716,107.1403279,2021-11-30
3113,307277,520268,307377,520168,917.8386611,454.9922132,462.846448,69.34412568,327.8432513,415.7521585,104.8991257,2021-11-30
3122,307277,519368,307377,519268,534.3182482,255.8859888,278.4322594,57.96067799,182.0854136,230.5017977,63.77035881,2021-11-30
3123,307277,519268,307377,519168,785.08464,375.6831517,409.4014883,85.18747426,268.0093686,338.1960778,93.69171933,2021-11-30
3127,307277,518868,307377,518768,214.1106834,105.9443083,108.1663752,26.55096725,65.48835822,100.406438,21.66491996,2021-11-30
3128,307277,518768,307377,518668,211.5353555,104.547389,106.9879665,26.35935015,64.82605375,98.94969772,21.40025386,2021-11-30
3250,307377,520368,307477,520268,83.95551912,41.39942623,42.5560929,6.554535519,29.21306011,38.55303279,9.63489071,2021-11-30
3251,307377,520268,307477,520168,1426.63735,707.2125683,719.4247814,107.9106011,509.5102732,646.0703551,163.1461202,2021-11-30
3260,307377,519368,307477,519268,560.6416054,268.2868285,292.3547769,60.77155586,191.2837918,241.8023707,66.78388713,2021-11-30
3261,307377,519268,307477,519168,826.6032816,395.4453083,431.1579733,89.73461432,282.2429187,355.9163628,98.70938578,2021-11-30
3262,307377,519168,307477,519068,644.4716803,308.0755471,336.3961334,69.33018918,214.1878231,283.6933581,77.26030998,2021-11-30
3263,307377,519068,307477,518968,258.8846721,123.0855191,135.799153,26.10688525,70.50969945,130.8202186,31.44786885,2021-11-30
3266,307377,518768,307477,518668,247.8987297,122.2036328,125.6950969,33.24110977,80.21877297,112.55049,21.88835691,2021-11-30
3267,307377,518668,307477,518568,192.5944218,94.9120501,97.68237172,25.61732201,60.99797273,88.34864118,17.63048589,2021-11-30
3273,307377,518068,307477,517968,700.802705,311.9072404,388.8954645,81.29234973,235.0294809,313.2972951,71.18357924,2021-11-30
3274,307377,517968,307477,517868,913.7981694,406.8379508,506.9602186,106.1909563,306.2551366,408.2323771,93.11969946,2021-11-30
3398,307477,519368,307577,519268,360.8330425,176.909964,183.9230785,27.29855606,138.8640872,158.6872055,35.9831938,2021-11-30
3399,307477,519268,307577,519168,409.2954382,195.8498641,213.445574,44.28051855,137.5411613,178.5721975,48.90156089,2021-11-30
3400,307477,519168,307577,519068,103.7753667,49.33181281,54.44355392,10.58510756,28.14591857,52.55283763,12.49150295,2021-11-30
3401,307477,519068,307577,518968,136.0976787,64.61052982,71.48714883,13.94518077,36.95726513,68.87774186,16.31749089,2021-11-30
3402,307477,518968,307577,518868,446.8705456,220.3782449,226.4923006,62.55185532,148.2426577,199.2726772,36.80335538,2021-11-30
3403,307477,518868,307577,518768,637.6761202,314.7095628,322.9665574,88.90136613,211.8932787,284.1360929,52.74538252,2021-11-30
3404,307477,518768,307577,518668,603.3863935,297.698388,305.6880055,83.92546449,200.7440984,269.2056011,49.5112295,2021-11-30
3405,307477,518668,307577,518568,723.9421585,357.2339071,366.7082514,100.7091257,240.7896174,322.8942623,59.549153,2021-11-30
3410,307477,518168,307577,518068,503.5570549,226.9244366,276.6326183,72.12479461,172.9085189,215.9191954,42.60454588,2021-11-30
3411,307477,518068,307577,517968,746.0308882,332.5350932,413.495795,85.35740622,251.2222483,332.5190377,76.93219595,2021-11-30
3412,307477,517968,307577,517868,325.3485246,146.217459,179.1310656,32.86661202,113.4712842,139.2656284,39.745,2021-11-30
3537,307577,519268,307677,519168,9789.894373,4788.946128,5000.948245,799.2950574,3883.611363,4362.47744,744.5105137,2021-11-30
3538,307577,519168,307677,519068,10457.87278,5120.270147,5337.602635,853.6393275,4142.077328,4665.647758,796.5083686,2021-11-30
3539,307577,519068,307677,518968,244.0736887,126.5064707,117.567218,17.79971545,69.9271005,127.1479932,29.19887948,2021-11-30
3540,307577,518968,307677,518868,263.7377869,129.8849454,133.8528415,37.03349727,87.14196722,117.8996995,21.66262295,2021-11-30
3541,307577,518868,307677,518768,163.5267047,80.49557457,83.03113008,23.08788745,54.0096765,73.05288681,13.37625392,2021-11-30
3542,307577,518768,307677,518668,283.1585246,139.7058197,143.4527049,39.76800547,93.64379782,125.9928962,23.75382514,2021-11-30
3548,307577,518168,307677,518068,112.3992721,50.95437774,61.44489435,19.2445365,40.37865112,44.57378919,8.202295284,2021-11-30
3549,307577,518068,307677,517968,166.3366245,75.80869374,90.52793071,13.54897295,60.84936115,67.67898386,24.25930651,2021-11-30
3550,307577,517968,307677,517868,188.7746285,85.7719123,103.0027162,15.28942811,69.04425375,76.77023884,27.6707078,2021-11-30
3644,307677,522368,307777,522268,246.3999335,120.813951,125.5859826,20.67588449,72.88955581,125.5266025,27.30789071,2021-11-30
3674,307677,519368,307777,519268,6005.654327,2937.222825,3068.431502,486.2632933,2389.286081,2673.41469,456.6902629,2021-11-30
3675,307677,519268,307777,519168,18088.25167,8846.753498,9241.498169,1478.113087,7191.487924,8051.301284,1367.349372,2021-11-30
3676,307677,519168,307777,519068,11067.09033,5422.292759,5644.797569,900.3069126,4378.705,4942.406366,845.6720492,2021-11-30
3677,307677,519068,307777,518968,329.2760904,176.2766875,152.999403,20.21149596,96.52361243,173.3752265,39.16575555,2021-11-30
3678,307677,518968,307777,518868,319.5767327,171.0015979,148.5751348,19.71190216,93.38619074,168.333794,38.14484579,2021-11-30
3679,307677,518868,307777,518768,578.1684197,286.6632798,291.5051399,77.90886477,190.5949228,260.7645537,48.90007837,2021-11-30
3680,307677,518768,307777,518668,229.1754461,112.8277658,116.3476803,32.39910709,75.51277725,102.3257152,18.93784658,2021-11-30
3685,307677,518268,307777,518168,202.8006643,92.52481699,110.2758473,26.95842789,73.46191904,81.30454296,21.07577439,2021-11-30
3686,307677,518168,307777,518068,209.049578,95.28246072,113.7671173,17.22594976,76.31798035,84.85155133,30.65409655,2021-11-30
3687,307677,518068,307777,517968,226.0885709,103.0772782,123.0112928,18.49716044,82.65133789,91.92304721,33.01702535,2021-11-30
3688,307677,517968,307777,517868,354.917541,162.0131694,192.9043715,29.04284153,129.6124044,144.2872678,51.97502733,2021-11-30
3689,307677,517868,307777,517768,135.4017461,61.19679459,74.20495148,11.229593,49.40394937,54.79153887,19.97666482,2021-11-30
3782,307777,522368,307877,522268,335.041694,172.8486066,162.1930874,33.30661202,104.5316393,165.8395082,31.36393442,2021-11-30
3783,307777,522268,307877,522168,370.1424044,190.8545628,179.2878415,36.63232241,115.5099454,183.544071,34.45606557,2021-11-30
3784,307777,522168,307877,522068,196.9031148,101.1196175,95.78349727,19.73346995,60.98202186,97.62562842,18.56199454,2021-11-30
3814,307777,519168,307877,519068,7559.737185,3702.846803,3856.890383,615.0428415,2988.331121,3377.793633,578.5695901,2021-11-30
3815,307777,519068,307877,518968,316.0483735,169.0970184,146.9513552,19.49212276,92.54351471,166.354261,37.65847504,2021-11-30
3816,307777,518968,307877,518868,226.8820109,121.2297062,105.6523048,13.98722167,66.32952388,119.7346093,26.83065616,2021-11-30
3817,307777,518868,307877,518768,413.4201429,197.7223434,215.6977995,44.97781901,164.4296623,174.3705447,29.64211704,2021-11-30
3818,307777,518768,307877,518668,571.784399,270.6493716,301.1350273,64.79374317,233.0777596,234.923306,38.98959017,2021-11-30
3826,307777,517968,307877,517868,279.8471298,127.7785871,152.0685427,22.85022558,102.3411322,113.853248,40.80252405,2021-11-30
3922,307877,522168,307977,522068,467.4910928,241.4678962,226.0231967,46.37442622,146.1230328,231.3501366,43.64349727,2021-11-30
3923,307877,522068,307977,521968,413.9030875,213.6315847,200.2715027,40.98554644,129.1237158,205.155929,38.63789617,2021-11-30
3924,307877,521968,307977,521868,158.954918,93.51188524,65.44303279,6.481038251,42.01166667,90.24751366,20.21469945,2021-11-30
3925,307877,521868,307977,521768,174.7155738,102.8793443,71.83622951,7.059262295,46.22051913,99.31912569,22.11666667,2021-11-30
3953,307877,519068,307977,518968,452.1526502,227.9551093,224.197541,39.83808743,159.1225137,211.0919126,42.10013661,2021-11-30
3955,307877,518868,307977,518768,526.6758743,249.4490983,277.226776,59.74726776,214.7941803,216.3442896,35.79013661,2021-11-30
3964,307877,517968,307977,517868,473.1594964,216.2394972,256.9199993,38.66152482,172.9297869,192.4898265,69.07835819,2021-11-30
4061,307977,522068,308077,521968,288.9071858,148.9746995,139.9324863,28.59374317,90.10016394,143.4214208,26.79185792,2021-11-30
4062,307977,521968,308077,521868,81.44628415,48.09163935,33.35464481,3.367076503,21.53904372,46.19734972,10.34281421,2021-11-30
4063,307977,521868,308077,521768,161.482459,94.90956285,66.57289618,6.711803279,42.70554645,91.38038251,20.68472678,2021-11-30
4094,307977,518768,308077,518668,377.6469399,178.5916667,199.0552732,42.82956285,153.8145082,155.1841257,25.81874317,2021-11-30
4095,307977,518668,308077,518568,516.86,245.0579508,271.8020492,58.50469946,211.0280328,212.3221858,35.00508197,2021-11-30
4102,307977,517968,308077,517868,152.0441624,68.86486093,83.17930151,12.5085229,55.52603413,61.69861303,22.31099238,2021-11-30
4117,307977,516468,308077,516368,38.75546713,20.27924615,18.47622097,3.177368963,12.3748234,19.97177621,3.231498559,2021-11-30
